,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
40 11,55 11,,,,,,,,,,,,,
5 11,10 11,15 11,20 11,25 13,30 11,35 11,40 13,44 11,48 11,52 11,56 13,,,
0 11,4 11,8 13,12 11,16 11,20 13,24 11,28 11,32 13,36 11,40 11,44 13,48 11,52 11,56 11
0 11,6 11,12 13,18 11,24 13,30 11,36 13,42 11,48 13,54 11,,,,,
0 13,8 11,16 13,24 11,32 13,40 11,48 13,56 11,,,,,,,
5 11,15 13,25 11,35 50,45 13,55 11,,,,,,,,,
5 11,15 13,25 11,35 50,45 13,55 11,,,,,,,,,
5 11,15 13,25 11,35 50,45 13,55 11,,,,,,,,,
5 11,15 13,25 11,35 50,45 13,55 11,,,,,,,,,
5 11,15 13,25 11,35 50,45 13,55 11,,,,,,,,,
5 11,15 13,25 11,35 11,45 13,55 11,,,,,,,,,
5 13,12 11,19 13,26 11,33 13,40 11,47 13,54 11,,,,,,,
0 13,6 11,12 13,18 11,24 13,30 11,36 13,42 11,48 13,54 11,,,,,
0 11,6 13,12 11,18 11,24 13,30 11,36 11,42 13,48 11,52 11,,,,,
0 11,8 13,16 11,24 11,32 11,40 11,48 13,58 11,,,,,,,
8 11,20 11,35 13,40 11,57 11,,,,,,,,,,
5 13,10 11,37 11,45 11,,,,,,,,,,,
17 11,45 11,,,,,,,,,,,,,
